trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,2,-33.96588621844309,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9}",20,0,-4.955357451298106,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.85}",20,0,-108.8586309951611,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8}",25,0,-85.00085660346043,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.75}",25,0,-83.01635204671766,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7}",20,0,-46.625635930908345,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,0,-173.3166309934649,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.6}",30,8,-63.71918611122869,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.55}",30,12,-3.816772515709517,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5}",25,16,-58.41195693398287,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.44999999999999996}",35,8,-28.232012355593774,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.3999999999999999}",35,0,-51.956925816592154,"{0: 27, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.35}",25,0,-47.790247794645154,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999993}",25,9,-53.85055694679729,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.25}",25,0,20.173936334675343,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999996}",30,0,-56.49709195599698,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,7,-44.09333934560757,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,0,-10.685128019896869,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,12,8.57855596925388,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",20,13,10.694788809778174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,-19.549821417787314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,10,14.075286265159177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-9.397278759700859,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,13,33.86335124988243,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,3,-6.051020785063263,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,31.991022557779985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-52.33737962139642,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,11,22.094033091201396,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,21,4.149672925295624,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,7.051117817699474,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
