trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.56030073782313,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.6278026279868,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.60929778671118,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-115.90284798388876,"{0: 23, 1: 2, 2: 7, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,11,-5.213338032190133,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.47730116750354,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-117.90484848826458,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,17,-77.95722782793077,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.88789258935765,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.74040761937442,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.05505464541716,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.53033106734301,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-171.93941234680696,"{0: 27, 1: 0, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.4629740574176,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,12,-36.74582562900388,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.82761739050669,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.06878112770696,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.83385508418708,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,13,-39.02421992241082,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.16689933935457,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-324.7053234827005,"{0: 16, 1: 1, 2: 11, 3: 3, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,4,-91.32728399342975,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,1.3953478756159967,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.94149804314853,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.61906275383956,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.38024156868574,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,2,-172.86791889598936,"{0: 19, 1: 2, 2: 8, 3: 3, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.20328850817918,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-271.40169117481736,"{0: 10, 1: 5, 2: 10, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,16,-81.05603177925622,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
